order_item_id,order_id,product_id,quantity,unit_price
197,86,17,1,561.79
198,86,21,3,557.44
199,86,4,3,1663.92
200,87,7,1,1552.93
201,87,17,3,561.79
202,87,22,1,1828.87
203,87,16,1,351.89
204,88,4,1,1663.92
205,88,25,2,311.45
206,88,5,3,1167.37
207,88,3,3,185.23
208,89,11,2,350.42
209,89,12,3,442.72
210,89,25,3,311.45
211,90,10,3,1282.29
212,90,18,2,1378.68
213,90,20,1,1615.93
214,90,13,3,1412.58
215,91,9,2,778.84
216,91,16,2,351.89
217,91,7,1,1552.93
218,91,1,3,1620.03
219,92,4,3,1663.92
220,92,25,2,311.45
221,92,24,3,809.38
222,93,6,2,120.26
223,93,23,2,448.86
224,94,6,3,120.26
225,95,12,1,442.72
226,95,4,2,1663.92
227,95,11,2,350.42
228,96,12,3,442.72
229,96,24,1,809.38
230,96,21,1,557.44
231,97,1,1,1620.03
232,97,4,2,1663.92
233,98,4,3,1663.92
234,98,19,1,481.21
235,99,3,2,185.23
236,100,24,2,809.38
237,100,18,3,1378.68
238,100,11,2,350.42
239,100,17,2,561.79
240,101,25,1,311.45
241,102,18,2,1378.68
242,102,3,3,185.23
243,102,16,3,351.89
244,102,7,1,1552.93
245,103,19,2,481.21
246,103,11,1,350.42
247,103,8,2,1714.97
248,103,5,2,1167.37
249,104,1,2,1620.03
250,104,13,3,1412.58
251,104,23,3,448.86
252,104,4,3,1663.92
253,105,10,2,1282.29
254,105,13,1,1412.58
255,106,19,2,481.21
256,106,16,2,351.89
257,106,2,1,1086.36
258,107,15,2,1082.25
259,107,5,3,1167.37
260,107,11,3,350.42
261,107,4,2,1663.92
262,108,21,2,557.44
263,108,9,1,778.84
264,109,3,2,185.23
265,110,12,1,442.72
266,111,4,1,1663.92
267,111,15,2,1082.25
268,111,11,1,350.42
269,111,25,1,311.45
270,112,4,2,1663.92
271,112,20,2,1615.93
272,112,11,1,350.42
273,113,11,2,350.42
274,113,20,2,1615.93
275,113,22,2,1828.87
276,113,21,2,557.44
277,114,1,2,1620.03
278,114,5,1,1167.37
279,114,6,2,120.26
280,114,13,1,1412.58
281,115,12,2,442.72
282,116,9,3,778.84
283,116,15,1,1082.25
284,117,7,1,1552.93
285,118,4,1,1663.92
286,118,16,1,351.89
287,119,23,1,448.86
288,119,14,1,1229.98
289,120,2,3,1086.36
290,120,16,1,351.89
291,120,18,3,1378.68
292,120,3,1,185.23
293,121,10,3,1282.29
294,121,14,2,1229.98
295,121,18,2,1378.68
296,121,4,1,1663.92
297,122,1,1,1620.03
298,123,10,1,1282.29
299,123,19,3,481.21
300,123,20,1,1615.93
301,124,4,3,1663.92
302,124,2,3,1086.36
303,124,12,2,442.72
304,125,21,3,557.44
305,125,12,1,442.72
306,125,11,1,350.42
307,125,13,3,1412.58
308,126,25,1,311.45
309,126,13,3,1412.58
310,127,18,3,1378.68
311,127,21,3,557.44
312,127,6,1,120.26
313,128,22,2,1828.87
314,129,9,3,778.84
315,129,18,2,1378.68
316,129,5,1,1167.37
317,129,25,3,311.45
318,130,16,1,351.89
319,130,1,2,1620.03
320,130,21,2,557.44
321,131,4,2,1663.92
322,132,10,3,1282.29
323,132,22,2,1828.87
324,132,1,3,1620.03
325,133,15,2,1082.25
326,133,12,1,442.72
327,134,8,3,1714.97
328,134,17,3,561.79
329,134,6,2,120.26
330,135,15,2,1082.25
331,135,25,3,311.45
332,135,9,3,778.84
333,135,16,2,351.89
334,136,7,1,1552.93
335,136,22,1,1828.87
336,136,21,2,557.44
337,137,8,1,1714.97
338,137,22,2,1828.87
339,137,20,3,1615.93
340,137,9,3,778.84
341,138,22,2,1828.87
342,138,14,1,1229.98
343,138,4,2,1663.92
344,138,25,2,311.45
345,139,22,2,1828.87
346,139,14,1,1229.98
347,140,15,2,1082.25
348,140,11,2,350.42
349,140,25,2,311.45
350,141,23,3,448.86
351,141,17,1,561.79
352,141,16,3,351.89
353,142,3,1,185.23
354,142,2,1,1086.36
355,143,14,2,1229.98
356,143,19,3,481.21
357,143,12,1,442.72
358,143,10,3,1282.29
359,144,17,3,561.79
360,144,5,3,1167.37
361,144,21,2,557.44
362,144,3,2,185.23
363,145,4,1,1663.92
364,146,22,1,1828.87
365,146,25,2,311.45
366,146,16,3,351.89
367,147,3,2,185.23
368,147,20,3,1615.93
369,148,8,2,1714.97
370,148,18,3,1378.68
371,148,5,3,1167.37
372,149,22,2,1828.87
373,149,20,3,1615.93
374,149,4,3,1663.92
375,150,23,2,448.86
376,150,4,3,1663.92
377,150,13,2,1412.58
378,151,17,2,561.79
379,151,24,2,809.38
380,151,23,1,448.86
381,152,1,3,1620.03
382,153,19,2,481.21
383,153,13,1,1412.58
384,154,7,1,1552.93
385,154,6,1,120.26
386,155,17,2,561.79
387,155,11,3,350.42
388,155,13,3,1412.58
389,155,6,3,120.26
390,156,16,1,351.89
391,156,24,1,809.38
392,156,19,2,481.21
393,157,14,2,1229.98
394,157,9,1,778.84
395,158,12,1,442.72
396,158,15,3,1082.25
397,158,11,3,350.42
398,159,2,2,1086.36
399,159,9,1,778.84
400,160,11,3,350.42
401,161,22,3,1828.87
402,161,13,1,1412.58
403,161,20,3,1615.93
404,162,5,1,1167.37
405,162,15,1,1082.25
406,162,14,3,1229.98
407,162,13,2,1412.58
408,163,12,2,442.72
409,163,2,2,1086.36
410,163,8,2,1714.97
411,163,24,1,809.38
412,164,11,2,350.42
413,165,20,1,1615.93
414,165,23,1,448.86
415,165,12,2,442.72
416,165,14,2,1229.98
417,166,4,3,1663.92
418,167,10,1,1282.29
419,168,11,3,350.42
420,168,16,2,351.89
421,169,22,1,1828.87
422,170,9,3,778.84
423,171,1,3,1620.03
424,171,22,3,1828.87
425,171,23,3,448.86
426,171,16,1,351.89
427,172,15,2,1082.25
428,172,25,2,311.45
429,172,2,2,1086.36
430,172,11,3,350.42
431,173,10,2,1282.29
432,173,1,3,1620.03
433,173,11,3,350.42
434,173,5,1,1167.37
435,174,15,1,1082.25
436,175,13,2,1412.58
437,175,24,3,809.38
438,176,15,1,1082.25
439,177,3,1,185.23
440,177,25,3,311.45
441,178,15,1,1082.25
442,179,3,2,185.23
443,180,23,3,448.86
444,180,1,3,1620.03
445,180,7,2,1552.93
446,180,11,2,350.42
447,181,24,1,809.38
448,182,5,3,1167.37
449,182,12,2,442.72
450,182,10,3,1282.29
451,183,17,1,561.79
452,183,19,3,481.21
453,183,20,1,1615.93
454,183,7,2,1552.93
455,184,23,2,448.86
456,184,11,1,350.42
457,185,10,3,1282.29
458,185,22,1,1828.87
459,186,9,1,778.84
460,186,21,1,557.44
461,186,16,1,351.89
462,187,22,2,1828.87
463,187,17,3,561.79
464,188,16,2,351.89
465,188,6,1,120.26
466,188,25,2,311.45
467,189,18,3,1378.68
468,189,10,2,1282.29
469,189,23,2,448.86
470,190,3,2,185.23
471,190,14,1,1229.98
472,190,18,3,1378.68
473,190,19,1,481.21
474,191,19,3,481.21
475,191,6,2,120.26
476,191,17,3,561.79
477,191,13,2,1412.58
478,192,9,1,778.84
479,193,9,3,778.84
480,193,1,3,1620.03
481,194,22,3,1828.87
482,195,24,3,809.38
483,195,1,1,1620.03
484,195,20,1,1615.93
485,196,24,3,809.38
486,196,6,3,120.26
487,196,10,2,1282.29
488,196,11,2,350.42
489,197,3,3,185.23
490,197,11,2,350.42
491,198,18,1,1378.68
492,198,10,2,1282.29
493,198,8,2,1714.97
494,198,14,2,1229.98
495,199,3,2,185.23
496,199,18,3,1378.68
497,199,2,1,1086.36
498,200,4,2,1663.92
499,200,20,2,1615.93
